"rank","player","age","position","team","games","mins_played","rebounds_defensive","pts"
274,"Lonzo Ball",28,"PG","CLE",35,728,5.6,7.9
109,"Luguentz Dort",26,"SF","OKC",49,1373,3.7,11.3
49,"Luka Dončić",26,"PG","LAL",46,1640,7.1,33
265,"Luka Garza",27,"C","BOS",49,763,3.9,16.7
171,"Luke Kennard",29,"SG","2TM",54,1115,3.2,14.2
181,"Luke Kornet",30,"C","SAS",49,1084,5.9,11.7
450,"Luke Travers",24,"SG","CLE",12,103,5.2,9.8
393,"Malaki Branham",22,"SG","WAS",28,275,4.2,16.8
195,"Malik Monk",27,"SG","SAC",48,1059,2.8,20.1
426,"Marcus Sasser",25,"PG","DET",18,170,3,20.1
114,"Marcus Smart",31,"SG","LAL",48,1356,2.8,12.1
128,"Mark Williams",24,"C","PHO",55,1300,7.5,17.7
231,"Marvin Bagley III",26,"PF","2TM",45,898,6.3,19.1
438,"Mason Plumlee",35,"C","CHO",14,125,8.6,7.5
39,"Matas Buzelis",21,"PF","CHI",60,1711,5.6,19.4
64,"Max Christie",22,"SG","DAL",53,1570,3.9,16.1
377,"Maxi Kleber",34,"PF","LAL",32,347,3.6,6.8
134,"Maxime Raynaud",22,"C","SAC",53,1281,7.6,15.4
286,"Micah Peavy",24,"SG","NOP",46,693,2.8,10.4
325,"Micah Potter",27,"C","IND",27,533,6.3,16.3
76,"Michael Porter Jr.",27,"SF","BRK",46,1509,6.4,27
3,"Mikal Bridges",29,"SF","NYK",59,2014,3.3,16.5
245,"Mike Conley",38,"PG","MIN",46,831,2.8,8.4
564,"Mike Smith",31,"PF","BOS",60,2100,6.5,17.7
34,"Miles Bridges",27,"PF","CHO",55,1753,5.7,20.2
449,"Miles Kelly",23,"PG","DAL",13,103,5.2,11.9
210,"Miles McBride",25,"SG","NYK",35,981,2.5,16.6
248,"Mitchell Robinson",27,"C","NYK",42,822,7.9,9.6
382,"Mohamed Diawara",20,"SF","NYK",48,338,4.8,13.8
408,"Moritz Wagner",28,"C","ORL",18,223,6.5,25.3
93,"Moses Moody",23,"SG","GSW",57,1451,3.5,16.9
219,"Mouhamed Gueye",23,"PF","ATL",58,931,5.5,10.4
371,"Moussa Cisse",23,"C","DAL",31,366,8,11.1
121,"Moussa Diabaté",24,"C","CHO",52,1318,7,11.9
80,"Myles Turner",29,"C","MIL",53,1495,5.6,16.1
396,"Myron Gardner",24,"SF","MIA",29,270,7.5,15.6
259,"Nae'Qwan Tomlin",25,"PF","CLE",48,784,3.6,13.6
40,"Naji Marshall",28,"SF","DAL",57,1705,4.9,18.7
67,"Naz Reid",26,"C","MIN",59,1550,7.2,19.3
107,"Neemias Queta",26,"C","BOS",55,1378,7.7,14.1
66,"Nic Claxton",26,"C","BRK",53,1551,5.8,15.5
355,"Nick Richards",28,"C","2TM",36,423,7.8,13.7
385,"Nick Smith Jr.",21,"SG","LAL",25,318,2,16.5
14,"Nickeil Alexander-Walker",27,"SG","ATL",58,1925,3.2,21.5
192,"Nicolas Batum",37,"PF","LAC",55,1063,4.3,7.8
416,"Nigel Hayes-Davis",31,"SF","PHO",27,195,3.9,6.3
86,"Nikola Jokić",30,"C","DEN",43,1472,9.9,30.3
258,"Nikola Jović",22,"PF","MIA",45,791,5.8,15.4
47,"Nikola Vučević",35,"C","2TM",55,1649,8.1,19.2
137,"Nique Clifford",23,"SG","SAC",57,1263,3.9,11.3
83,"Noah Clowney",21,"PF","BRK",52,1475,4.1,16.4
